games_idx,Date,Visiting Team,Visiting League,Home Team,Home League,Visiting Score,Home Score,V Start Pitcher ID,H Start Pitcher ID,Home Winner,V NetRuns,H NetRuns,V Runs Allowed,H Runs Allowed,Home Wins?,Prediction Correct?
5185,20120429,MIL,NL,SLN,NL,3,2,greiz001,garcj004,False,1,-1,4.4,4.4,True,False
5186,20120430,MIN,AL,ANA,AL,3,4,blacn001,wilsc004,True,-1,1,9.0,3.0,True,True
5187,20120430,OAK,AL,BOS,AL,6,11,milot001,buchc001,True,-5,5,2.8,3.4,False,False
5188,20120430,BAL,AL,NYA,AL,1,2,hammj002,kuroh001,True,-1,1,3.4,3.0,True,True
5189,20120430,SEA,AL,TBA,AL,2,3,hernf002,hellj001,True,-1,1,3.4,2.2,True,True
5190,20120430,TEX,AL,TOR,AL,4,1,darvy001,drabk001,False,3,-3,999.0,6.8,True,False
5191,20120430,PIT,NL,ATL,NL,9,3,mcdoj004,minom001,False,6,-6,3.8,1.6,True,False
5192,20120430,LAN,NL,COL,NL,2,6,haraa001,nicaj001,True,-4,4,5.4,3.4,True,True
5193,20120430,NYN,NL,HOU,NL,3,4,dickr001,norrb001,True,-1,1,4.0,4.2,False,False
5194,20120430,ARI,NL,MIA,NL,9,5,corbp001,buehm001,False,4,-4,999.0,2.8,True,False
5195,20120430,CHN,NL,PHI,NL,4,6,volsc001,worlv001,True,-2,2,3.4,4.6,False,False
5196,20120430,MIL,NL,SDN,NL,8,3,wolfr001,wielj001,False,5,-5,6.0,999.0,False,True
5197,20120501,MIN,AL,ANA,AL,0,4,lirif001,willj003,True,-4,4,7.0,999.0,False,False
5198,20120501,OAK,AL,BOS,AL,5,3,parkj001,doubf001,False,2,-2,999.0,999.0,True,False
5199,20120501,CLE,AL,CHA,AL,2,7,jimeu001,salec001,True,-5,5,6.6,999.0,False,False
5200,20120501,KCA,AL,DET,AL,3,9,hochl001,porcr001,True,-6,6,3.6,4.8,False,False
5201,20120501,BAL,AL,NYA,AL,7,1,matub001,hughp001,False,6,-6,10.8,5.4,True,False
5202,20120501,SEA,AL,TBA,AL,1,3,noesh001,moorm003,True,-2,2,999.0,999.0,True,True
5203,20120501,TEX,AL,TOR,AL,7,8,felin001,hutcd001,True,-1,1,999.0,999.0,True,True
5204,20120501,PHI,NL,ATL,NL,4,2,hamec001,beacb001,False,2,-2,2.4,5.0,False,True
5205,20120501,LAN,NL,COL,NL,7,6,lillt001,chacj001,False,1,-1,3.2,5.6,False,True
5206,20120501,NYN,NL,HOU,NL,3,6,niesj001,happj001,True,-3,3,4.8,2.4,True,True
5207,20120501,MIL,NL,SDN,NL,0,2,marcs001,volqe001,True,-2,2,2.0,4.8,False,False
5208,20120501,MIA,NL,SFN,NL,2,1,nolar001,cainm001,False,1,-1,4.6,1.6,True,False
5209,20120501,PIT,NL,SLN,NL,7,10,mortc002,waina001,True,-3,3,5.8,5.8,True,True
5210,20120501,ARI,NL,WAS,NL,5,1,cahit001,zimmj003,False,4,-4,3.4,1.6,True,False
5211,20120502,MIN,AL,ANA,AL,0,9,hendl001,weavj003,True,-9,9,999.0,1.4,True,True
5212,20120502,OAK,AL,BOS,AL,4,2,mccab001,bardd001,False,2,-2,5.4,999.0,False,True
5213,20120502,CLE,AL,CHA,AL,6,3,tomlj001,humbp001,False,3,-3,4.6,6.0,False,True
5214,20120502,KCA,AL,DET,AL,3,2,sancj002,verlj001,False,1,-1,4.0,3.0,True,False
5215,20120502,BAL,AL,NYA,AL,5,0,arrij001,novai001,False,5,-5,5.6,4.0,True,False
5216,20120502,SEA,AL,TBA,AL,4,5,beavb001,shiej002,True,-1,1,4.8,2.2,True,True
5217,20120502,TEX,AL,TOR,AL,5,11,harrm001,romer002,True,-6,6,2.0,3.8,False,False
5218,20120502,PHI,NL,ATL,NL,13,15,hallr001,hanst001,True,-2,2,2.2,3.6,False,False
5219,20120502,CHN,NL,CIN,NL,3,1,samaj001,arrob001,False,2,-2,999.0,4.4,True,False
5220,20120502,LAN,NL,COL,NL,5,8,kersc001,pomed001,True,-3,3,2.2,999.0,False,False
5221,20120502,NYN,NL,HOU,NL,1,8,schwc001,rodrw002,True,-7,7,999.0,3.8,True,True
5222,20120502,MIL,NL,SDN,NL,0,5,gally001,suppj001,True,-5,5,4.2,4.2,True,True
5223,20120502,MIA,NL,SFN,NL,3,2,zambc001,zitob001,False,1,-1,4.6,3.2,True,False
5224,20120502,PIT,NL,SLN,NL,3,12,burna001,lynnl001,True,-9,9,6.2,999.0,False,False
5225,20120502,ARI,NL,WAS,NL,4,5,saunj001,jacke001,True,-1,1,1.6,4.6,False,False
5226,20120503,TOR,AL,ANA,AL,5,0,morrb001,hared001,False,5,-5,5.2,3.6,True,False
5227,20120503,CLE,AL,CHA,AL,7,5,mastj001,dankj001,False,2,-2,6.4,6.4,True,False
5228,20120503,NYA,AL,KCA,AL,3,4,pheld001,duffd001,True,-1,1,999.0,5.4,True,True
5229,20120503,SEA,AL,TBA,AL,3,4,millk004,niemj001,True,-1,1,3.0,3.6,False,False
5230,20120503,PHI,NL,ATL,NL,4,0,blanj001,delgr001,False,4,-4,4.8,3.0,True,False
5231,20120503,CHN,NL,CIN,NL,3,4,dempr002,bailh001,True,-1,1,4.6,5.2,False,False
5232,20120503,MIA,NL,SFN,NL,3,2,sanca004,voger001,False,1,-1,2.0,3.4,False,True
5233,20120503,PIT,NL,SLN,NL,6,3,bedae001,westj001,False,3,-3,4.4,3.8,True,False
5234,20120503,ARI,NL,WAS,NL,1,2,kenni001,detwr001,True,-1,1,2.0,3.2,False,False
5235,20120504,TOR,AL,ANA,AL,4,0,alvah001,sante001,False,4,-4,3.0,5.0,False,True
5236,20120504,BAL,AL,BOS,AL,6,4,chenw001,lestj001,False,2,-2,999.0,6.0,True,False
5237,20120504,TEX,AL,CLE,AL,3,6,lewic001,gomej002,True,-3,3,3.6,2.4,True,True
5238,20120504,CHA,AL,DET,AL,4,5,peavj001,smyld001,True,-1,1,1.0,999.0,False,False
5239,20120504,NYA,AL,KCA,AL,6,2,sabac001,chenb001,False,4,-4,5.2,4.4,True,False
